ID,ISBN,judul,kategori,jumlah
590,9789790689169,Kompetensi Berbahasa dan Sastra Indonesia,Kelas 10,0
591,9789790680000,Belajar Efektif Bahasa Indonesia,Kelas 10,0
592,9789790688315,Biologi,Kelas 10,0
593,9789790688025,Fisika,Kelas 10,0
594,9789790688193,Panduan Pembelajaran Fisika,Kelas 10,0
596,9789790687905,Geografi 1,Kelas 10,0
598,9789790687424,Sosiologi,Kelas 10,0
599,9789790687370,Sosiologi 1 Menyelami Fenomena Sosial di Masyarakat,Kelas 10,0
600,9799790687424,Sosiologi 1,Kelas 10,0
601,9789790687424,Sosiologi,Kelas 10,0
619,1234567891237,Anatomi Hewan,Kelas 10,0
620,1234567891238,Anatomi Hewan,Kelas 10,0
622,1234567891231,Kesehatan Biota Air,Kelas 10,0
623,1234567891231,Pengelolaan Kualitas Air,Kelas 10,0
624,1234567891231,Pengelolaan Kualitas Air,Kelas 10,0
625,1234567891231,Dasar-dasar Pemeliharaan Ternak,Kelas 10,0
626,1234567891231,Kesehatan Biota Air,Kelas 10,0
627,1234567891231,Kesehatan Biota Air,Kelas 10,0
628,1234567891231,Keamanan Pangan,Kelas 10,0
629,1234567891231,Keamanan Pangan,Kelas 10,0
630,1234567891231,Fisiologi Hewan,Kelas 10,0
631,1234567891231,Fisiologi Hewan,Kelas 10,0
632,1234567891232,KESELAMATAN KESEHATAN KERJA DAN LH 2,Kelas 10,0
633,1234567891232,KESELAMATAN KESEHATAN KERJA DAN LH 1,Kelas 10,0
634,1234567891232,Produksi Pakan Buatan 2,Kelas 10,0
635,1234567891232,Produksi Pakan Buatan 1,Kelas 10,0
638,1234567891232,Produksi Makanan dan Minuman Herbal,Kelas 10,0
639,1234567891232,Reproduksi Hewan 2,Kelas 10,0
640,1234567891232,Reproduksi Hewan 1,Kelas 10,0
641,1234567891232,Olah Tubuh Tari2,Kelas 10,0
642,1234567891233,Pengetahuan Seni Tari 1,Kelas 10,0
643,1234567891233,Rekayasa dan Pemodelan Furniture 2,Kelas 10,0
644,1234567891233,Rekayasa dan Pemodelan Furniture 1,Kelas 10,0
645,1234567891233,Teknik Dasar Elektronika Komunikasi,Kelas 10,0
646,1234567891233,Teknik Dasar Elektronika Komunikasi,Kelas 10,0
647,1234567891233,Teknik Dasar Listrik Telekomunikasi,Kelas 10,0
648,1234567891233,Teknik Dasar Listrik Telekomunikasi,Kelas 10,0
649,1234567891233,Teknik Kerja Bengkel Telekomunikasi,Kelas 10,0
650,1234567891233,Teknik Kerja Bengkel Telekomunikasi,Kelas 10,0
651,1234567891233,Administrasi Server,Kelas 10,0
652,1234567891234,Administrasi Server,Kelas 10,0
653,1234567891234,Pemrograman Web,Kelas 10,0
654,1234567891234,Pemrograman Web,Kelas 10,0
655,1234567891234,Jaringan Dasar,Kelas 10,0
656,1234567891234,Jaringan Dasar,Kelas 10,0
657,1234567891234,Sistem Operasi,Kelas 10,0
659,1234567891234,Simulasi Digital,Kelas 10,0
660,1234567891234,Simulasi Digital,Kelas 10,0
661,1234567891234,Perakitan Komputer,Kelas 10,0
662,1234567891235,Perakitan Komputer,Kelas 10,0
663,1234567891235,Rangkaian Elektronika Analog,Kelas 10,0
665,1234567891235,Pengelolaan Kualitas Air 2,Kelas 10,0
666,1234567891235,Pengelolaan Kualitas Air 1,Kelas 10,0
667,1234567891235,Penanganan Material,Kelas 10,0
668,1234567891235,TeknikKelistrikandanElektronikaInstrumentasi,Kelas 10,0
669,1234567891235,TeknikKelistrikandanElektronikaInstrumentasi,Kelas 10,0
670,1234567891235,Teknologi Bahan Furnitur,Kelas 10,0
671,1234567891235,Teknologi Bahan Furnitur,Kelas 10,0
672,1234567891236,MekanikaTeknik,Kelas 10,0
673,1234567891236,Kelistrikan Mesin,Kelas 10,0
674,1234567891236,Geologi Dasar,Kelas 10,0
675,1234567891236,Geologi Dasar,Kelas 10,0
676,1234567891236,Mekanika Teknik dan Elemen Mesin,Kelas 10,0
677,1234567891236,Paleontologi,Kelas 10,0
678,1234567891236,Paleontologi,Kelas 10,0
679,1234567891236,Ilmu Batuan,Kelas 10,0
680,1234567891236,Ilmu Batuan,Kelas 10,0
681,1234567891236,Rekayasa dan Pemodelan Furnitur,Kelas 10,0
682,1234567891237,Rekayasa dan Pemodelan Furnitur,Kelas 10,0
683,1234567891237,Batuan,Kelas 10,0
684,1234567891237,Batuan,Kelas 10,0
685,1234567891237,Analisis Perancangan Kerja,Kelas 10,0
686,1234567891237,Analisis Perancangan Kerja,Kelas 10,0
